country,continent,mean_lifeExp
Albania,Europe,68.43291666666667
Austria,Europe,73.10325
Belgium,Europe,73.64175
Bosnia and Herzegovina,Europe,67.70783333333334
Bulgaria,Europe,69.74375
Croatia,Europe,70.05591666666666
Czech Republic,Europe,71.51050000000001
Denmark,Europe,74.37016666666666
Finland,Europe,72.99191666666667
France,Europe,74.34891666666667
Germany,Europe,73.44441666666667
Greece,Europe,73.73316666666666
Hungary,Europe,69.39316666666667
Iceland,Europe,76.51141666666666
Ireland,Europe,73.01725
Italy,Europe,74.01383333333334
Montenegro,Europe,70.29916666666666
Netherlands,Europe,75.6485
Norway,Europe,75.843
Poland,Europe,70.17691666666667
Portugal,Europe,70.41983333333333
Romania,Europe,68.29066666666667
Serbia,Europe,68.551
Slovak Republic,Europe,70.69608333333333
Slovenia,Europe,71.60075
Spain,Europe,74.20341666666667
Sweden,Europe,76.17699999999999
Switzerland,Europe,75.56508333333333
Turkey,Europe,59.696416666666664
United Kingdom,Europe,73.92258333333334
